Season,TeamSource,TeamCanonical,TrueSeed,IsSelected,SourceUrl,SourceType,Verified
2021-22,Ohio State,Ohio St.,28,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Boise State,Boise St.,29,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,North Carolina,North Carolina,30,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,San Diego State,San Diego St.,31,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Seton Hall,Seton Hall,32,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Creighton,Creighton,33,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,TCU,TCU,34,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Marquette,Marquette,35,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Memphis,Memphis,36,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,San Francisco,San Francisco,37,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Miami,Miami (FL),38,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Loyola Chicago,Loyola Chicago,39,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Davidson,Davidson,40,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Iowa State,Iowa St.,41,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Michigan,Michigan,42,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Wyoming,Wyoming,43,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Rutgers,Rutgers,44,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Indiana,Indiana,45,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Virginia Tech,Virginia Tech,46,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Notre Dame,Notre Dame,47,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,UAB,UAB,48,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Richmond,Richmond,49,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,New Mexico State,New Mexico St.,50,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Chattanooga,Chattanooga,51,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,South Dakota State,South Dakota St.,52,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Vermont,Vermont,53,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Akron,Akron,54,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Longwood,Longwood,55,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Yale,Yale,56,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Colgate,Colgate,57,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Montana State,Montana St.,58,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Delaware,Delaware,59,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Saint Peter's,Saint Peter's,60,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Jacksonville State,Jacksonville St.,61,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Cal State Fullerton,Cal St. Fullerton,62,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Georgia State,Georgia St.,63,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Norfolk State,Norfolk St.,64,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Wright State,Wright St.,65,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Bryant,Bryant,66,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Texas Southern,Texas Southern,67,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Texas A&M-Corpus Christi,A&M-Corpus Christi,68,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Alabama,Alabama,1,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Houston,Houston,2,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Kansas,Kansas,3,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Purdue,Purdue,4,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,UCLA,UCLA,5,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Texas,Texas,6,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Arizona,Arizona,7,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2022-23,Marquette,Marquette,8,1,https://www.cbssports.com/college-basketball/news/march-madness-2023-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
